Regiao,ANO,POPULACAO
Centro-Oeste,2007,3159407
Centro-Oeste,2008,3265538
Centro-Oeste,2009,3371072
Centro-Oeste,2010,3474778
Centro-Oeste,2011,3576720
Centro-Oeste,2012,3679267
Centro-Oeste,2013,3783029
Centro-Oeste,2014,3889015
Centro-Oeste,2015,3997708
Centro-Oeste,2016,4109403
Centro-Oeste,2017,4223221
Centro-Oeste,2018,4337384
Centro-Oeste,2019,4450370
Centro-Oeste,2020,4558164
Centro-Oeste,2021,4654545
Centro-Oeste,2022,4747252
Nordeste,2007,10943858
Nordeste,2008,11219510
Nordeste,2009,11496728
Nordeste,2010,11773879
Nordeste,2011,12048167
Nordeste,2012,12324489
Nordeste,2013,12607948
Nordeste,2014,12903034
Nordeste,2015,13212649
Nordeste,2016,13537200
Nordeste,2017,13871760
Nordeste,2018,14208496
Nordeste,2019,14541934
Nordeste,2020,14859375
Nordeste,2021,15152285
Nordeste,2022,15436005
Norte,2007,2795647
Norte,2008,2900432
Norte,2009,3006478
Norte,2010,3112589
Norte,2011,3218655
Norte,2012,3326629
Norte,2013,3437587
Norte,2014,3552046
Norte,2015,3669992
Norte,2016,3791377
Norte,2017,3915946
Norte,2018,4043353
Norte,2019,4173135
Norte,2020,4298346
Norte,2021,4414981
Norte,2022,4532148
Sudeste,2007,20567210
Sudeste,2008,20980397
Sudeste,2009,21374446
Sudeste,2010,21746054
Sudeste,2011,22095092
Sudeste,2012,22432095
Sudeste,2013,22763594
Sudeste,2014,23097935
Sudeste,2015,23439501
Sudeste,2016,23791384
Sudeste,2017,24150579
Sudeste,2018,24508600
Sudeste,2019,24859353
Sudeste,2020,25185275
Sudeste,2021,25459667
Sudeste,2022,25718509
Sul,2007,7171436
Sul,2008,7308165
Sul,2009,7434804
Sul,2010,7550779
Sul,2011,7656326
Sul,2012,7755365
Sul,2013,7851054
Sul,2014,7947747
Sul,2015,8048298
Sul,2016,8154079
Sul,2017,8263733
Sul,2018,8374976
Sul,2019,8485206
Sul,2020,8588643
Sul,2021,8674596
Sul,2022,8757328
