ANO,Regiao,Empresas_Ativas,Populacao,Razao_Populacao_Empresa
2007,Centro-Oeste,3384,3159407,933.6309101654846
2008,Centro-Oeste,4018,3265538,812.7272274763563
2009,Centro-Oeste,4802,3371072,702.0141607663473
2010,Centro-Oeste,6199,3474778,560.5384739474109
2011,Centro-Oeste,7684,3576720,465.47631441957316
2012,Centro-Oeste,8360,3679267,440.1037081339713
2013,Centro-Oeste,10135,3783029,373.26383818450915
2014,Centro-Oeste,10442,3889015,372.4396667305114
2015,Centro-Oeste,11141,3997708,358.828471411902
2016,Centro-Oeste,10103,4109403,406.7507670988815
2017,Centro-Oeste,9817,4223221,430.1946623204645
2018,Centro-Oeste,9788,4337384,443.1328156926849
2019,Centro-Oeste,9175,4450370,485.05395095367845
2020,Centro-Oeste,10713,4558164,425.47969756370765
2021,Centro-Oeste,9051,4654545,514.2575406032482
2022,Centro-Oeste,8296,4747252,572.2338476374156
2007,Nordeste,7753,10943858,1411.5642976912163
2008,Nordeste,8308,11219510,1350.446557534906
2009,Nordeste,8966,11496728,1282.2583091679678
2010,Nordeste,10582,11773879,1112.6326781326782
2011,Nordeste,13032,12048167,924.5063689379988
2012,Nordeste,14801,12324489,832.6794811161408
2013,Nordeste,17330,12607948,727.5215233698789
2014,Nordeste,17815,12903034,724.2792029188886
2015,Nordeste,17668,13212649,747.8293525016979
2016,Nordeste,17484,13537200,774.2621825669183
2017,Nordeste,16780,13871760,826.684147794994
2018,Nordeste,16783,14208496,846.6004885896443
2019,Nordeste,16077,14541934,904.5178826895565
2020,Nordeste,16288,14859375,912.2897224950884
2021,Nordeste,14918,15152285,1015.7048531974796
2022,Nordeste,13679,15436005,1128.445427297317
2007,Norte,2209,2795647,1265.5712992304211
2008,Norte,2272,2900432,1276.5985915492959
2009,Norte,2574,3006478,1168.0178710178711
2010,Norte,3129,3112589,994.7551933525087
2011,Norte,3489,3218655,922.5150472914876
2012,Norte,3753,3326629,886.3919531041834
2013,Norte,4503,3437587,763.3992893626471
2014,Norte,4488,3552046,791.4540998217469
2015,Norte,4467,3669992,821.5786881576001
2016,Norte,3837,3791377,988.1097211363044
2017,Norte,3735,3915946,1048.4460508701472
2018,Norte,3827,4043353,1056.5333159132479
2019,Norte,3297,4173135,1265.7370336669699
2020,Norte,3316,4298346,1296.2442702050664
2021,Norte,2691,4414981,1640.6469713861018
2022,Norte,2172,4532148,2086.6243093922653
2007,Sudeste,26030,20567210,790.1348444102958
2008,Sudeste,27738,20980397,756.3774244718437
2009,Sudeste,31842,21374446,671.2658124489668
2010,Sudeste,37906,21746054,573.6836912362159
2011,Sudeste,45831,22095092,482.09927778141434
2012,Sudeste,49284,22432095,455.1597881665449
2013,Sudeste,52687,22763594,432.05333383946703
2014,Sudeste,61335,23097935,376.5865329746474
2015,Sudeste,63355,23439501,369.9708152474154
2016,Sudeste,61591,23791384,386.2802032764527
2017,Sudeste,63913,24150579,377.8664590928293
2018,Sudeste,61266,24508600,400.0359089870401
2019,Sudeste,62272,24859353,399.20595131038027
2020,Sudeste,64975,25185275,387.61485186610236
2021,Sudeste,62682,25459667,406.1718994288631
2022,Sudeste,61039,25718509,421.34551680073395
2007,Sul,12215,7171436,587.1007777322964
2008,Sul,14542,7308165,502.5557007289231
2009,Sul,15440,7434804,481.52875647668395
2010,Sul,19693,7550779,383.42451632559795
2011,Sul,23339,7656326,328.04858820000857
2012,Sul,28336,7755365,273.69300536420104
2013,Sul,32065,7851054,244.84808981755808
2014,Sul,33853,7947747,234.77230969190322
2015,Sul,34687,8048298,232.02634992936837
2016,Sul,33928,8154079,240.33479721763734
2017,Sul,32038,8263733,257.9353580123603
2018,Sul,32950,8374976,254.17226100151746
2019,Sul,34245,8485206,247.77941305300044
2020,Sul,36698,8588643,234.03572401765763
2021,Sul,33682,8674596,257.54397007303606
2022,Sul,32434,8757328,270.0045631127829
